Age,M,F,,,,
0-4,3022521,2881577,,,,
5-9,3083431,2938358,,,,
10-14,3353150,3193462,,,,
15-19,3833984,3654181,,,,
20-24,4307242,4114218,,,,
25-29,4965277,4825032,,,,
30-34,4436818,4339792,,,,
35-39,4096286,4018579,,,,
40-44 ,3924171,3876048,,,,
45-49,4467772,4448236,,,,
50-54,5210038,5231952,,,,
55-59,4290239,4443933,,,,
60-64,3749528,3986305,,,,
65-69,3357281,3748658,,,,
70-74,2670270,3230306,,,,
75-79,1625822,2524778,,,,
80-84,915268,1699421,,,,
85-89,477083,1055240,,,,
90-94,149295,420986,,,,
95-99,25070,93418,,,,
100 +,2027,10229,,,,
