DATE,CPI,Food and Beverages,Clothing,New Vehicles,School Costs and Childcare,Housing,"IT, Hardware and Services",Computers
1/1/2008,212.174,208.392,119.438,136.827,509.988,212.244,10.215,100.636
2/1/2008,212.687,209.183,118.904,136.279,511.661,213.026,10.229,99.944
3/1/2008,213.448,209.595,118.399,135.727,513.602,214.389,10.204,99.27
4/1/2008,213.942,211.368,118.729,135.175,516.121,214.89,10.118,97.527
5/1/2008,215.208,212.204,118.716,134.669,518.116,215.809,10.1,96.561
6/1/2008,217.463,213.452,118.501,134.516,520.48,217.941,10.085,96.037
7/1/2008,219.016,215.449,119.006,134.397,522.496,219.61,10.094,94.899
8/1/2008,218.69,216.53,119.736,133.404,525.053,219.148,10.032,93.421
9/1/2008,218.877,217.749,119.618,132.399,528.244,218.184,9.93,91.531
10/1/2008,216.995,218.632,118.799,132.264,530.65,217.383,9.892,90.404
11/1/2008,213.153,219.079,118.867,132.359,533.086,216.467,9.887,89.514
12/1/2008,211.398,219.151,118.119,132.308,535.488,216.073,9.935,89.262
1/1/2009,211.933,219.323,117.967,133.273,537.453,216.928,9.914,88.389
2/1/2009,212.705,219.058,119.888,134.186,539.535,217.18,9.902,87.074
3/1/2009,212.495,218.682,120.368,134.611,541.493,217.374,9.832,85.182
4/1/2009,212.709,218.372,120.182,134.863,543.376,217.126,9.833,84.491
5/1/2009,213.022,218.053,120.038,135.162,545.957,216.971,9.754,83.826
6/1/2009,214.79,218.092,120.276,135.719,547.876,218.071,9.737,83.609
7/1/2009,214.726,217.725,119.984,136.055,549.841,218.085,9.608,80.941
8/1/2009,215.445,217.738,120.236,134.08,552.538,217.827,9.517,79.016
9/1/2009,215.861,217.664,120.779,134.576,554.747,217.178,9.499,78.82
10/1/2009,216.509,217.881,120.5,137.268,556.617,216.612,9.525,78.823
11/1/2009,217.234,218.055,120.007,138.831,558.225,215.808,9.49,78.661
12/1/2009,217.347,218.341,120.441,138.857,560.087,215.523,9.445,78.523
1/1/2010,217.488,218.855,119.91,138.743,561.896,215.925,9.451,78.18
2/1/2010,217.281,218.898,120.184,138.851,564.378,215.841,9.521,77.45
3/1/2010,217.353,219.321,120.225,138.6,567.221,216.023,9.525,77.649
4/1/2010,217.403,219.531,119.646,138.174,569.787,215.798,9.491,77.154
5/1/2010,217.29,219.651,119.648,137.75,571.298,215.981,9.455,76.192
6/1/2010,217.199,219.627,119.623,137.503,573.555,216.778,9.421,75.584
7/1/2010,217.605,219.643,119.322,137.323,574.851,217.076,9.399,75.907
8/1/2010,217.923,219.879,118.96,137.119,576.643,216.976,9.4,76.305
9/1/2010,218.275,220.598,119.21,137.365,577.502,216.602,9.372,76.46
10/1/2010,219.035,220.911,118.917,137.849,578.158,216.1,9.342,75.88
11/1/2010,219.59,221.315,119.027,138.222,580.502,215.83,9.323,75.38
12/1/2010,220.472,221.556,119.223,138.567,582.695,216.142,9.252,74.179
1/1/2011,221.187,222.735,119.82,138.925,585.441,216.739,9.206,72.941
2/1/2011,221.898,223.734,119.904,140.158,587.554,217.259,9.173,72.287
3/1/2011,223.046,225.337,119.739,140.86,589.292,217.707,9.133,71.509
4/1/2011,224.093,226.18,120.037,141.462,591.052,217.901,9.102,71.106
5/1/2011,224.806,227.045,121.146,142.494,593.194,218.484,9.059,70.499
6/1/2011,224.806,227.603,121.71,143.054,595.097,219.553,9.008,68.854
7/1/2011,225.395,228.473,122.547,142.763,596.933,220.23,9.017,68.685
8/1/2011,226.106,229.577,123.551,142.327,601.611,220.506,8.983,67.191
9/1/2011,226.597,230.561,123.244,142.334,603.166,220.54,8.953,66.427
10/1/2011,226.75,230.776,123.775,142.535,605.847,220.138,8.924,65.9
11/1/2011,227.169,230.976,124.762,142.736,607.772,219.969,8.916,66.158
12/1/2011,227.223,231.392,124.865,142.953,609.736,220.193,8.876,64.967
1/1/2012,227.842,232.131,125.399,143.438,611.414,220.805,8.896,64.555
2/1/2012,228.329,232.103,125.075,144.326,612.732,221.117,8.856,64.463
3/1/2012,228.807,232.502,125.85,144.35,614.307,221.487,8.806,63.725
4/1/2012,229.187,232.934,126.432,144.522,615.817,221.682,8.791,62.677
5/1/2012,228.713,233.127,126.663,144.401,617.789,221.971,8.84,63.041
6/1/2012,228.524,233.624,126.248,144.367,619.049,223.051,8.799,63.11
7/1/2012,228.59,233.752,125.935,143.953,621.882,223.316,8.762,62.777
8/1/2012,229.918,234.108,125.333,143.749,623.296,223.699,8.682,62.225
9/1/2012,231.015,234.286,126.386,143.725,625.946,223.901,8.643,61.403
10/1/2012,231.638,234.694,127.291,144.011,628.143,223.708,8.612,60.716
11/1/2012,231.249,235.1,127.191,144.762,629.833,223.814,8.585,59.775
12/1/2012,231.221,235.521,127.289,145.181,631.853,224.032,8.582,59.319
1/1/2013,231.679,235.86,128.076,145.871,634.935,224.79,8.588,59.194
2/1/2013,232.937,235.903,128.134,145.925,636.563,225.382,8.617,58.775
3/1/2013,232.282,236.13,126.97,145.989,638.068,225.643,8.628,58.376
4/1/2013,231.797,236.574,126.905,146.188,639.683,225.986,8.561,57.51
